iin	V(iin)	V(vout)	I(Iin)	I(Iout)	I(Vout)
5.924080000000048e-05	1.790192e+00	5.000000e+00	5.924080e-05	2.710505e-19	2.710505e-19
5.934070000000049e-05	1.787769e+00	5.000000e+00	5.934070e-05	-9.618044e-19	-9.618044e-19
5.944060000000049e-05	1.785348e+00	5.000000e+00	5.944060e-05	4.336809e-19	4.336809e-19
5.954050000000049e-05	1.782928e+00	5.000000e+00	5.954050e-05	-1.287113e-18	-1.287113e-18
5.964040000000049e-05	1.780510e+00	5.000000e+00	5.964040e-05	1.246832e-18	1.246832e-18
5.974030000000050e-05	1.778093e+00	5.000000e+00	5.974030e-05	-1.626303e-19	-1.626303e-19
5.984020000000050e-05	1.775678e+00	5.000000e+00	5.984020e-05	1.355253e-18	1.355253e-18
5.994010000000050e-05	1.773263e+00	5.000000e+00	5.994010e-05	-1.355253e-18	-1.355253e-18
6.004000000000050e-05	1.770851e+00	5.000000e+00	6.004000e-05	-1.355253e-18	-1.355253e-18
6.013990000000050e-05	1.768439e+00	5.000000e+00	6.013990e-05	9.895676e-19	9.895676e-19
6.023980000000051e-05	1.766029e+00	5.000000e+00	6.023980e-05	-7.589415e-19	-7.589415e-19
6.033970000000051e-05	1.763621e+00	5.000000e+00	6.033970e-05	1.463673e-18	1.463673e-18
6.043960000000051e-05	1.761214e+00	5.000000e+00	6.043960e-05	7.994373e-19	7.994373e-19
6.053950000000051e-05	1.758808e+00	5.000000e+00	6.053950e-05	-3.252607e-19	-3.252607e-19
6.063940000000052e-05	1.756403e+00	5.000000e+00	6.063940e-05	0.000000e+00	0.000000e+00
6.073930000000052e-05	1.754000e+00	5.000000e+00	6.073930e-05	-5.421011e-20	-5.421011e-20
6.083920000000052e-05	1.751599e+00	5.000000e+00	6.083920e-05	-2.168404e-19	-2.168404e-19
6.093910000000052e-05	1.749198e+00	5.000000e+00	6.093910e-05	-1.084202e-18	-1.084202e-18
